doi,journal_short,publication_year,title,study_setting,study_iso3_list,irb_status,irb_terms_matched,irb_institutions,irb_iso3_list,irb_country_identified,irb_in_study_country,irb_location_class,irb_n_institutions,irb_approval_status,irb_justification,irb_llm_model,irb_llm_prompt_version,snapshot_utc
10.1016/j.jdeveco.2021.102665,JDE,2021,"Information, get-out-the-vote messages, and peer influence: Causal effects on political behavior in Mozambique",single_country,MOZ,ok,ethical/ethics approval,Universidade Nova de Lisboa,PRT,TRUE,FALSE,foreign_only,1,approved,Rule-based match: Universidade Nova de Lisboa,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102674,JDE,2021,A breath of fresh air: Raising awareness for clean fuel adoption,single_country,IND,ok,IRB | ethical/ethics | ethical/ethics approval,IFMR ; Indian Statistical Institute,IND,TRUE,TRUE,local_only,2,approved,"Rule-based match: IFMR, Indian Statistical Institute",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102699,JDE,2021,(Mis)information and anxiety: Evidence from a randomized Covid-19 information campaign,single_country,IND,ok,IRB | ethical/ethics | human subjects,University of Michigan ; Good Business Lab (India),IND;USA,TRUE,TRUE,both,2,approved,"Rule-based match: University of Michigan, Good Business Lab (India)",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102701,JDE,2021,Testing willingness to pay elicitation mechanisms in the field: Evidence from Uganda,single_country,UGA,ok,IRB,Mildmay Uganda Research Ethics Committee,UGA,TRUE,TRUE,local_only,1,approved,Rule-based match: Mildmay Uganda Research Ethics Committee,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102707,JDE,2021,The joint effects of information and financing constraints on technology adoption: Evidence from a field experiment in rural Tanzania,single_country,TZA,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102710,JDE,2021,Subsidies for technology adoption: Experimental evidence from rural Cameroon,single_country,CMR,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102713,JDE,2021,Seeking the treated: The impact of mobile extension on farmer information exchange in India,single_country,IND,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102716,JDE,2021,Can youth empowerment programs reduce violence against girls during the COVID-19 pandemic?,single_country,BOL,ok,ethical/ethics | ethical/ethics approval,World Bank ; Bocconi University,ITA;USA,TRUE,FALSE,foreign_only,2,approved,"Rule-based match: World Bank, Bocconi University",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102718,JDE,2021,Can community service grants foster social and economic integration for youth? A randomized trial in Kazakhstan,single_country,KAZ,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102722,JDE,2021,Collective action in games as in life: Experimental evidence from canal cleaning in Haiti,single_country,HTI,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102737,JDE,2021,Environmental effects of development programs: Experimental evidence from West African dryland forests,single_country,GMB,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102745,JDE,2021,The power to protect: Household bargaining and female condom use,single_country,MOZ,ok,IRB/ethics (full-text rescan),Eduardo Mondlane University (MOZ); Hospital Central de Maputo (MOZ),MOZ,TRUE,TRUE,local_only,2,approved,Full-text rescan 2026-06-15 (no_mention->reports IRB): TRO Science for Global Development (grant no. W 07.40.203) and the Universal Access to Female Condoms (UAFC) Joint Programme (grant no. A-02974- 02-01/506671). IRB approval was granted by the Research Ethics Committee of the Eduardo Mondlan,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102747,JDE,2021,Texts don’t nudge: An adaptive trial to prevent the spread of COVID-19 in India,single_country,IND,ok,human subjects,IFMR,IND,TRUE,TRUE,local_only,1,mentioned_only,Rule-based match: IFMR,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102751,JDE,2021,Cheap talk and coordination in the lab and in the field: Collective commercialization in Senegal,single_country,SEN,ok,ethical/ethics,CNERS (Senegal national ethics committee),SEN,TRUE,TRUE,local_only,1,approved,Rule-based match: CNERS (Senegal national ethics committee),local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102753,JDE,2021,Welfare effects of an in-kind transfer program: Evidence from Mexico,single_country,MEX,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102776,JDE,2021,How light is too light touch: The effect of a short training-based intervention on household poultry production in Burkina Faso,single_country,BFA,ok,ethical/ethics,International Food Policy Research Institute (USA); Comite d'Ethique pour la Recherche en Sante MS/MRSI (BFA),BFA;USA,TRUE,TRUE,both,2,approved,Full-text re-extraction 2026-06-15 (agent-assisted): Ethical review and approval was provided by the Institutional Research Board at the International Food Policy Research Institute and the Comite Ethique pour la Recherche en Sante MS/MRSI in Burkina Faso.,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102779,JDE,2021,Direct vs indirect management training: Experimental evidence from schools in Mexico,single_country,MEX,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102780,JDE,2021,Social protection amidst social upheaval: Examining the impact of a multi-faceted program for ultra-poor households in Yemen,single_country,YEM,ok,IRB,Yale University,USA,TRUE,FALSE,foreign_only,1,approved,Rule-based match: Yale University,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102781,JDE,2021,Unpacking a multi-faceted program to build sustainable income for the very poor,single_country,GHA,ok,IRB | human subjects,Yale University Human Subjects Committee (USA); Innovations for Poverty Action Human Subjects Committee (USA),USA,TRUE,FALSE,foreign_only,2,approved,"Full-text re-extraction 2026-06-15 (agent-assisted): Approval from the Yale University Human Subjects Committee, IRB #0705002656, 1002006308, 1006007026, and 1011007628; and from the Innovations for Poverty Action Human Subjects Committee, IRB Protocol #19.08 January-002, 09 December-003, 59.",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102784,JDE,2021,Relative power: Explaining the effects of food and cash transfers on allocative behaviour in rural Nepalese households,single_country,NPL,ok,ethical/ethics | ethical/ethics approval,University College London,GBR,TRUE,FALSE,foreign_only,1,approved,Rule-based match: University College London,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102788,JDE,2021,Site-specific agronomic information and technology adoption: A field experiment from Ethiopia,single_country,ETH,ok,ethical/ethics | ethical/ethics approval,"Trinity College Dublin, Faculty of Arts, Humanities and Social Sciences Research Ethics Committee (IRL)",IRL,TRUE,FALSE,foreign_only,1,approved,"Full-text re-extraction 2026-06-15 (agent-assisted): We received ethical approval for the field experiment from Trinity College Dublin, Faculty of Arts, Humanities and Social Sciences Research Ethics Committee in January 2018.",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102807,JDE,2022,Impacts of industrial and entrepreneurial jobs on youth: 5-year experimental evidence on factory job offers and cash grants in Ethiopia,single_country,,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102810,JDE,2022,Restricted access: How the internet can be used to promote reading and learning,single_country,MWI,ok,ethical/ethics,University of Toronto ; Malawi National Committee on Research,CAN;MWI,TRUE,TRUE,both,2,approved,"Rule-based match: University of Toronto, Malawi National Committee on Research",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2021.102815,JDE,2022,Can virtual replace in-person coaching? Experimental evidence on teacher professional development and student learning,single_country,ZAF,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102820,JDE,2022,Heterogenous teacher effects of two incentive schemes: Evidence from a low-income country,single_country,GIN,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102846,JDE,2022,Aspirations and financial decisions: Experimental evidence from the Philippines,single_country,PHL,ok,IRB | ethical/ethics,Innovations for Poverty Action,USA,TRUE,FALSE,foreign_only,1,approved,Rule-based match: Innovations for Poverty Action,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102851,JDE,2022,Overcoming smallholder farmers’ post-harvest constraints through harvest loans and storage technology: Insights from a randomized controlled trial in Tanzania,single_country,TZA,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102870,JDE,2022,Active learning improves financial education: Experimental evidence from Uganda,single_country,UGA,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102875,JDE,2022,Using household grants to benchmark the cost effectiveness of a USAID workforce readiness program,single_country,RWA,ok,IRB,Innovations for Poverty Action ; Rwanda National Ethics Committee ; UC San Diego,RWA;USA,TRUE,TRUE,both,3,mentioned_only,"Rule-based match: Innovations for Poverty Action, Rwanda National Ethics Committee, UC San Diego",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102885,JDE,2022,Filling a niche? The maize productivity impacts of adaptive breeding by a local seed company in Kenya,single_country,KEN,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102893,JDE,2022,When student incentives do not work: Evidence from a field experiment in Malawi,single_country,MWI,ok,Institutional Review Board,Cornell University,USA,TRUE,FALSE,foreign_only,1,approved,Rule-based match: Cornell University,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102896,JDE,2022,Evaluating the distributive effects of a micro-credit intervention,single_country,IND,ok,ethical/ethics,Monash University (AUS); Boston University (USA); Hong Kong University of Science and Technology (HKG),AUS;HKG;USA,TRUE,FALSE,foreign_only,3,approved,"Full-text re-extraction 2026-06-15 (agent-assisted): Internal review board clearance was received from Monash University, Boston University and The Hong Kong University of Science and Technology.",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102911,JDE,2022,Targeting in tax behavior: Evidence from Rwandan firms,single_country,RWA,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102914,JDE,2022,Protecting infants from natural disasters: The case of vitamin A supplementation and a tornado in Bangladesh,single_country,BGD,ok,Institutional Review Board | ethical/ethics,Johns Hopkins (Bloomberg School) ; Johns Hopkins University,USA,TRUE,FALSE,foreign_only,2,approved,"Rule-based match: Johns Hopkins (Bloomberg School), Johns Hopkins University",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102915,JDE,2022,Women’s use of family planning services: An experiment on the husband’s involvement,single_country,TZA,ok,ethical/ethics approval,University of East Anglia,GBR,TRUE,FALSE,foreign_only,1,approved,Rule-based match: University of East Anglia,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102920,JDE,2022,Trouble with zero: The limits of subsidizing technology adoption,single_country,IND,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102921,JDE,2022,"Behavioral change promotion, cash transfers and early childhood development: Experimental evidence from a government program in a low-income setting",single_country,NER,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102929,JDE,2022,Cash transfers as a response to COVID-19: Experimental evidence from Kenya,single_country,KEN,ok,IRB/ethics (full-text rescan),Strathmore University (KEN); Yale University (USA); NACOSTI (KEN),KEN;USA,TRUE,TRUE,both,3,approved,"Full-text rescan 2026-06-15 (no_mention->reports IRB): Opportunity Initiative (Grant #JOI-1375) 01393- 7. for funding and to Brian Ambutsi for his excellent work managing the project in the field. This project was approved by the IRBs of Strathmore Bottan, Nicolas, Hoffman, Bridget, Vera-Cossio",,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102933,JDE,2022,When nature calls back: Sustaining behavioral change in rural Pakistan,single_country,PAK,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102942,JDE,2022,The short-lived effects of unconditional cash transfers to refugees,single_country,LBN,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102958,JDE,2022,"Knowledge, stigma, and HIV testing: An analysis of a widespread HIV/AIDS program",single_country,MOZ,ok,IRB | Institutional Review Board,University of Michigan ; Mozambique Ministry of Health,MOZ;USA,TRUE,TRUE,both,2,approved,"Manual override 2026-06-15 (JL): study country set to MOZ. Rule-based match: University of Michigan, Mozambique Ministry of Health",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102959,JDE,2022,Locking crops to unlock investment: Experimental evidence on warrantage in Burkina Faso,single_country,BFA,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102976,JDE,2022,Persuading voters to punish corrupt vote-buying candidates: Experimental evidence from a large-scale radio campaign in India,single_country,IND,ok,IRB,Columbia University,USA,TRUE,FALSE,foreign_only,1,mentioned_only,Rule-based match: Columbia University,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102981,JDE,2022,Trust and saving in financial institutions by the poor,single_country,PER,ok,human subjects,Innovations for Poverty Action,USA,TRUE,FALSE,foreign_only,1,approved,Rule-based match: Innovations for Poverty Action,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102984,JDE,2022,A behavioral intervention to increase preschool attendance in Uruguay,single_country,URY,ok,IRB/ethics (full-text rescan),Innovations for Poverty Action IRB (USA),USA,TRUE,FALSE,foreign_only,1,approved,"Full-text rescan 2026-06-15 (no_mention->reports IRB): e, low-cost behavioral experiment designed to increase The Inter-American Development Bank funded this study, which is listed in the AEA RCT registry under IPA IRB Protocol #15066. We thank Greg Elacqua and Sebastian Gallegos for their insi",,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102987,JDE,2022,Can information correct optimistic wage expectations? Evidence from Mozambican job-seekers,single_country,MOZ,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102993,JDE,2022,Love in the time of HIV: How beliefs about externalities impact health behavior,single_country,MWI,ok,IRB/ethics (full-text rescan),LSE Research Ethics Committee (GBR); Malawi College of Medicine R&E Committee (MWI),GBR;MWI,TRUE,TRUE,both,2,approved,"Full-text rescan 2026-06-15 (no_mention->reports IRB): onal and Invest in Knowledge Initiative, and financial support from STICERD and the Russell Sage Foundation. Errors remain those of the authors. This study was approved by the London School of Economics Research Ethics Committee and the Mal",,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102995,JDE,2022,Motivating bureaucrats with behavioral insights when state capacity is weak: Evidence from large-scale field experiments in Peru,single_country,PER,ok,IRB | ethical/ethics,World Bank,USA,TRUE,FALSE,foreign_only,1,approved,Rule-based match: World Bank,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.102999,JDE,2022,No bulls: Experimental evidence on the impact of veterinarian ratings in Pakistan,single_country,PAK,ok,IRB/ethics (full-text rescan),NONE,,FALSE,FALSE,undetermined,0,mentioned_only,"Full-text rescan 2026-06-15 (no_mention->reports IRB): he study data is already to be publicly available in the ATAI data repository. The authors will share any additional data upon 7. Conclusion request, following IRB in regards to confidentiality, etc. In this paper, we present results from t",,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.103034,JDE,2022,"Pumps, prosperity and household power: Experimental evidence on irrigation pumps and smallholder farmers in Kenya",single_country,KEN,ok,ethical/ethics | ethical/ethics approval,KEMRI,KEN,TRUE,TRUE,local_only,1,approved,Rule-based match: KEMRI,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.103035,JDE,2022,Social stigma as a barrier to HIV testing: Evidence from a randomized experiment in Mozambique,single_country,MOZ,ok,IRB,World Bank,USA,TRUE,FALSE,foreign_only,1,approved,Rule-based match: World Bank,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.103043,JDE,2023,Federal and state audits do not increase compliance with a grant program to improve municipal infrastructure: A pre-registered field experiment,single_country,MEX,ok,IRB | human subjects,Yale University,USA,TRUE,FALSE,foreign_only,1,approved,Rule-based match: Yale University,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2022.103044,JDE,2023,Impersonal trust in a Just and Unjust world: Evidence from an educational intervention,single_country,TUR,ok,ethical/ethics approval,University of Essex (GBR); Bilkent University (TUR),GBR;TUR,TRUE,TRUE,both,2,approved,"Full-text re-extraction 2026-06-15 (agent-assisted): The project has ethics approvals from the University of Essex, UK, and Bilkent University, Turkey.",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103051,JDE,2023,Efficient irrigation and water conservation: Evidence from South India,single_country,IND,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103053,JDE,2023,Labeled loans and human capital investments,single_country,IND,ok,Institutional Review Board | ethical/ethics approval,University College London,GBR,TRUE,FALSE,foreign_only,1,approved,Rule-based match: University College London,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103056,JDE,2023,Impact of self- or social-regarding health messages: Experimental evidence based on antibiotics purchases,single_country,CHN,ok,IRB,Renmin University of China,CHN,TRUE,TRUE,local_only,1,mentioned_only,Rule-based match: Renmin University of China,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103072,JDE,2023,Social and financial incentives for overcoming a collective action problem,single_country,BGD,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103074,JDE,2023,To invest or not to invest in sanitation: The role of intra-household gender differences in perceptions and bargaining power,single_country,IND,ok,ethical/ethics approval,"University College London Research Ethics Committee (GBR); Institute of Sustainable Development, Chennai (IND)",GBR;IND,TRUE,TRUE,both,2,approved,"Full-text re-extraction 2026-06-15 (agent-assisted): Ethics approval for the evaluation was received from the University College London Research Ethics Committee, Project ID: 2168/008, and from the IRB of The Institute of Sustainable Development, Chennai, India.",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103082,JDE,2023,"Transparency, governance, and water and sanitation: Experimental evidence from schools in rural Bangladesh",single_country,BGD,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103096,JDE,2023,Motivating volunteer health workers in an African capital city,single_country,GNB,ok,IRB/ethics (full-text rescan),Universidade Nova de Lisboa (PRT); National Institute of Public Health of Guinea-Bissau (GNB),GNB;PRT,TRUE,TRUE,both,2,approved,"Full-text rescan 2026-06-15 (no_mention->reports IRB): wledges financial support from Generalitat Valenciana CDEIGENT/2020/016 and from the Spanish Ministry of the Economy and Competitiveness, Grant ECO201787069-P. Ethics clearance was given by Universidade Nova de Lisboa as well as the Nationa",,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103098,JDE,2023,"Uptake, use, and impact of Islamic savings: Evidence from a field experiment in Pakistan",single_country,PAK,ok,ethical/ethics | ethical/ethics approval,University of Groningen,NLD,TRUE,FALSE,foreign_only,1,approved,Rule-based match: University of Groningen,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103100,JDE,2023,"Price information, inter-village networks, and “bargaining spillovers”: Experimental evidence from Ghana",single_country,GHA,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103108,JDE,2023,Countering misinformation on social media through educational interventions: Evidence from a randomized experiment in Pakistan,single_country,PAK,ok,IRB,Lahore University of Management Sciences,PAK,TRUE,TRUE,local_only,1,approved,Rule-based match: Lahore University of Management Sciences,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103109,JDE,2023,The fruits (and vegetables) of crime: Protection from theft and agricultural development,single_country,KEN,ok,ethical/ethics,University of Toronto,CAN,TRUE,FALSE,foreign_only,1,approved,Rule-based match: University of Toronto,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103111,JDE,2023,Learning by searching: Spatial mismatches and imperfect information in Southern labor markets,single_country,ZAF,ok,Institutional Review Board,MIT ; London School of Economics,GBR;USA,TRUE,FALSE,foreign_only,2,approved,"Rule-based match: MIT, London School of Economics",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103114,JDE,2023,Live tutoring calls did not improve learning during the COVID-19 pandemic in Sierra Leone,single_country,SLE,ok,IRB/ethics (full-text rescan),Sierra Leone Research Ethics Board (SLE),SLE,TRUE,TRUE,local_only,1,approved,"Full-text rescan 2026-06-15 (no_mention->reports IRB): ntion there was very little evidence on the effectiveness of distance learning, particularly in low-income countries like Sierra In this section we discuss the research ethics of this project, follow- Leone. SMS reminders have been shown to",,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103134,JDE,2023,Fertility and polygyny: Experimental evidence from Burkina Faso,single_country,BFA,ok,ethical/ethics approval,University of East Anglia,GBR,TRUE,FALSE,foreign_only,1,approved,Rule-based match: University of East Anglia,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103144,JDE,2023,Paying for agricultural information in Malawi: The role of soil heterogeneity,single_country,MWI,ok,ethical/ethics,Middlebury College Institutional Review Board (USA),USA,TRUE,FALSE,foreign_only,1,exempt,Full-text re-extraction 2026-06-15 (agent-assisted): Experimental procedures were reviewed by the Middlebury Institutional Review Board and found to be exempt from further review under the Federal Guidelines of 46.104(d)(3i)(B).,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103145,JDE,2023,Can technology improve the classroom experience in primary education? An African experiment on a worldwide program,single_country,AGO,ok,ethical/ethics,Nova School of Business (Lisbon) ; Universidade Nova de Lisboa,PRT,TRUE,FALSE,foreign_only,2,approved,"Rule-based match: Nova School of Business (Lisbon), Universidade Nova de Lisboa",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103146,JDE,2023,Multifaceted programs targeting women in fragile settings: Evidence from the Democratic Republic of Congo,single_country,COD,ok,Institutional Review Board | ethical/ethics approval,University of Texas ; University of Texas at Austin,USA,TRUE,FALSE,foreign_only,2,approved,"Rule-based match: University of Texas, University of Texas at Austin",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103147,JDE,2023,Can you spot a scam? Measuring and improving scam identification ability,single_country,KEN,ok,ethical/ethics approval,Innovations for Poverty Action,USA,TRUE,FALSE,foreign_only,1,approved,Rule-based match: Innovations for Poverty Action,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103153,JDE,2023,Can information and alternatives to irregular migration reduce “backway” migration from The Gambia?,single_country,GMB,ok,ethical/ethics | ethical/ethics approval,Nova School of Business (Lisbon),PRT,TRUE,FALSE,foreign_only,1,approved,Rule-based match: Nova School of Business (Lisbon),local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103166,JDE,2023,"Parental investment, school choice, and the persistent benefits of an early childhood intervention",no_country,,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103169,JDE,2023,With or without him? Experimental evidence on cash grants and gender-sensitive trainings in Tunisia,single_country,TUN,ok,IRB | Institutional Review Board,IRB Solutions (USA),USA,TRUE,FALSE,foreign_only,1,approved,"Full-text re-extraction 2026-06-15 (agent-assisted): This impact evaluation study received Institutional Review Board (IRB) clearance from IRB Solutions, under protocol #2020/11/17 and was registered on the AEA RCT Registry under registration number AEARCTR-0007136.",local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103174,JDE,2023,Improved menstrual health and the workplace: An RCT with female Bangladeshi garment workers,single_country,BGD,no_mention,,,,,,no_mention,,,,,,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103176,JDE,2023,How do digital platforms affect employment and job search? Evidence from India,single_country,IND,ok,human subjects,UC Berkeley,USA,TRUE,FALSE,foreign_only,1,approved,Rule-based match: UC Berkeley,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
10.1016/j.jdeveco.2023.103181,JDE,2023,Helping families help themselves: The (Un)intended impacts of a digital parenting program,single_country,SLV,ok,Institutional Review Board | ethical/ethics,Universidad Francisco Gavidia,SLV,TRUE,TRUE,local_only,1,approved,Rule-based match: Universidad Francisco Gavidia,local-rules-v1,local-dict-v1,2026-06-10T13:31:38Z
