openalex_id,n_authors,n_female,n_male,n_undetermined,n_determined,share_female_of_determined,any_female,first_author_gender,last_author_gender,all_undetermined
https://openalex.org/W4404760698,5,1,4,0,5,0.2000,TRUE,male,male,FALSE
https://openalex.org/W4410897393,5,0,5,0,5,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3135814050,3,0,2,1,2,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W2929932278,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4307561081,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4298012902,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4402923768,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W3122645729,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4367321476,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4323366278,5,1,3,1,4,0.2500,TRUE,male,undetermined,FALSE
https://openalex.org/W3215024110,4,1,2,1,3,0.3333,TRUE,male,female,FALSE
https://openalex.org/W4288074152,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4388104620,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4386267294,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4393294504,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4401996823,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4404760684,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4393294517,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4402924206,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W3194691293,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4392296112,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4408054573,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W4409035875,3,1,2,0,3,0.3333,TRUE,male,female,FALSE
https://openalex.org/W3123506444,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3186531035,4,1,3,0,4,0.2500,TRUE,male,female,FALSE
https://openalex.org/W4401996807,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4401996833,4,2,2,0,4,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4401997160,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4411811698,6,2,4,0,6,0.3333,TRUE,male,female,FALSE
https://openalex.org/W4408054547,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4412789100,4,4,0,0,4,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4415699610,4,1,2,1,3,0.3333,TRUE,undetermined,male,FALSE
https://openalex.org/W4406965553,2,2,0,0,2,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4415699637,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3145661109,3,1,2,0,3,0.3333,TRUE,male,female,FALSE
https://openalex.org/W4414662257,2,2,0,0,2,1.0000,TRUE,female,female,FALSE
https://openalex.org/W3176337170,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3142909945,3,1,1,1,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4390363262,4,1,3,0,4,0.2500,TRUE,female,male,FALSE
https://openalex.org/W4401126511,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4401997094,5,4,1,0,5,0.8000,TRUE,male,female,FALSE
https://openalex.org/W4405889229,4,1,3,0,4,0.2500,TRUE,male,male,FALSE
https://openalex.org/W4406973626,3,3,0,0,3,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4410897158,4,3,1,0,4,0.7500,TRUE,female,female,FALSE
https://openalex.org/W4413791031,3,2,1,0,3,0.6667,TRUE,male,female,FALSE
https://openalex.org/W4293252533,3,2,1,0,3,0.6667,TRUE,female,female,FALSE
https://openalex.org/W4414626419,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4413790790,4,4,0,0,4,1.0000,TRUE,female,female,FALSE
https://openalex.org/W3164510034,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W3122153890,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3123175793,4,2,1,1,3,0.6667,TRUE,female,male,FALSE
https://openalex.org/W3191193480,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4411811818,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4412789288,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4415699634,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W2970889537,4,2,2,0,4,0.5000,TRUE,male,female,FALSE
https://openalex.org/W3138555112,4,0,2,2,2,0.0000,FALSE,male,undetermined,FALSE
https://openalex.org/W3168965481,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4399216638,5,2,3,0,5,0.4000,TRUE,male,female,FALSE
https://openalex.org/W4205635601,3,3,0,0,3,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4293761888,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4379932724,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4408019360,4,3,0,1,3,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4392263537,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4310399232,5,1,4,0,5,0.2000,TRUE,male,male,FALSE
https://openalex.org/W3023852789,5,1,4,0,5,0.2000,TRUE,male,male,FALSE
https://openalex.org/W4389615087,4,1,3,0,4,0.2500,TRUE,male,female,FALSE
https://openalex.org/W4322507198,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W4389615269,3,0,2,1,2,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W4386325698,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4389615084,4,2,2,0,4,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4410860142,3,0,2,1,2,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W4389626342,2,2,0,0,2,1.0000,TRUE,female,female,FALSE
https://openalex.org/W3209224140,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W4322507128,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4214555198,3,3,0,0,3,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4386325739,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4392263547,5,3,2,0,5,0.6000,TRUE,male,female,FALSE
https://openalex.org/W4392263529,3,2,1,0,3,0.6667,TRUE,female,male,FALSE
https://openalex.org/W4399215299,4,1,3,0,4,0.2500,TRUE,male,female,FALSE
https://openalex.org/W4413745331,4,1,3,0,4,0.2500,TRUE,male,male,FALSE
https://openalex.org/W3187891477,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3198076696,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4408019376,4,1,3,0,4,0.2500,TRUE,male,female,FALSE
https://openalex.org/W4408019652,3,2,1,0,3,0.6667,TRUE,female,female,FALSE
https://openalex.org/W4413745369,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4416630521,6,2,4,0,6,0.3333,TRUE,male,female,FALSE
https://openalex.org/W3147447510,2,1,0,1,1,1.0000,TRUE,undetermined,female,FALSE
https://openalex.org/W4393245009,2,2,0,0,2,1.0000,TRUE,female,female,FALSE
https://openalex.org/W2971964540,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3143106568,4,1,1,2,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4361284416,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W2593364427,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4313365155,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W3023943127,4,0,2,2,2,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W4297493297,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W2902187036,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3122517818,5,2,3,0,5,0.4000,TRUE,female,female,FALSE
https://openalex.org/W3118936348,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4313316772,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4226179405,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W4393244938,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3144683470,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4226417644,4,1,2,1,3,0.3333,TRUE,undetermined,female,FALSE
https://openalex.org/W4313365186,5,2,3,0,5,0.4000,TRUE,female,male,FALSE
https://openalex.org/W3115910204,5,2,3,0,5,0.4000,TRUE,male,female,FALSE
https://openalex.org/W3157287928,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4361286318,2,2,0,0,2,1.0000,TRUE,female,female,FALSE
https://openalex.org/W3146619696,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4297493292,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4382584183,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4387133192,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3135654349,6,4,2,0,6,0.6667,TRUE,female,male,FALSE
https://openalex.org/W3175973481,2,0,1,1,1,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W4390291401,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4402855674,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3142405087,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4390291377,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4283651416,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4313365266,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W2907933032,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3209788012,3,1,1,1,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W3134531492,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3159420732,4,1,3,0,4,0.2500,TRUE,male,female,FALSE
https://openalex.org/W3186640826,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W3211093910,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4390291418,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4313364517,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4405921106,5,2,3,0,5,0.4000,TRUE,female,female,FALSE
https://openalex.org/W4408885704,6,2,4,0,6,0.3333,TRUE,male,female,FALSE
https://openalex.org/W2670742648,4,1,3,0,4,0.2500,TRUE,male,male,FALSE
https://openalex.org/W3125535889,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W3176043004,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W4411672047,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4400045880,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4402855637,2,2,0,0,2,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4411672024,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W2911372086,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4220855013,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W3123151859,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W4313365294,3,1,2,0,3,0.3333,TRUE,male,female,FALSE
https://openalex.org/W4390291483,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4393244892,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4405921145,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W4408885666,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4226521019,3,3,0,0,3,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4400045906,4,2,2,0,4,0.5000,TRUE,female,male,FALSE
https://openalex.org/W2913810757,5,2,3,0,5,0.4000,TRUE,male,male,FALSE
https://openalex.org/W3203248565,1,0,0,1,0,,FALSE,undetermined,undetermined,TRUE
https://openalex.org/W4382585149,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W3122831527,3,2,1,0,3,0.6667,TRUE,female,female,FALSE
https://openalex.org/W3121465913,4,3,1,0,4,0.7500,TRUE,female,female,FALSE
https://openalex.org/W4313410152,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4402864087,4,3,1,0,4,0.7500,TRUE,female,female,FALSE
https://openalex.org/W3042686965,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4408885786,6,2,2,2,4,0.5000,TRUE,undetermined,undetermined,FALSE
https://openalex.org/W4393245012,3,1,2,0,3,0.3333,TRUE,male,female,FALSE
https://openalex.org/W4400045843,4,3,1,0,4,0.7500,TRUE,male,female,FALSE
https://openalex.org/W4402864115,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W3123768884,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3149041781,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4411672037,3,1,1,1,2,0.5000,TRUE,male,undetermined,FALSE
https://openalex.org/W4411672042,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4411672152,3,1,1,1,2,0.5000,TRUE,male,undetermined,FALSE
https://openalex.org/W4414543884,5,2,3,0,5,0.4000,TRUE,male,male,FALSE
https://openalex.org/W3161899344,5,0,5,0,5,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3126395254,3,0,2,1,2,0.0000,FALSE,male,undetermined,FALSE
https://openalex.org/W3126581805,5,3,2,0,5,0.6000,TRUE,female,female,FALSE
https://openalex.org/W3159272808,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W3122940632,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4367314905,3,2,1,0,3,0.6667,TRUE,female,male,FALSE
https://openalex.org/W4385417840,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4225143734,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4288683863,1,0,0,1,0,,FALSE,undetermined,undetermined,TRUE
https://openalex.org/W3013628590,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4318704675,4,1,2,1,3,0.3333,TRUE,undetermined,female,FALSE
https://openalex.org/W4403946733,4,2,1,1,3,0.6667,TRUE,female,male,FALSE
https://openalex.org/W4318620232,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4409924939,4,0,2,2,2,0.0000,FALSE,male,undetermined,FALSE
https://openalex.org/W4396554925,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4401177600,3,0,1,2,1,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W3140912470,5,2,2,1,4,0.5000,TRUE,female,female,FALSE
https://openalex.org/W4367313364,2,0,0,2,0,,FALSE,undetermined,undetermined,TRUE
https://openalex.org/W3184614188,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3210239113,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3189689491,5,1,4,0,5,0.2000,TRUE,female,male,FALSE
https://openalex.org/W3161131079,4,1,1,2,2,0.5000,TRUE,undetermined,male,FALSE
https://openalex.org/W4307711611,2,2,0,0,2,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4288757821,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4210312376,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4319777356,3,1,1,1,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4391402701,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W4396555184,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4396554917,5,0,5,0,5,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3209669434,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4407035282,2,2,0,0,2,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4388043026,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4388078896,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W4401177491,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W4409924790,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3181328147,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4391402961,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4407006694,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W3135648020,3,1,2,0,3,0.3333,TRUE,male,female,FALSE
https://openalex.org/W4307711420,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W4415659136,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3124679945,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4403946732,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3147317005,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4388077461,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4396555038,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3114411616,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4391402915,2,0,1,1,1,0.0000,FALSE,male,undetermined,FALSE
https://openalex.org/W4407006658,3,1,2,0,3,0.3333,TRUE,male,male,FALSE
https://openalex.org/W4409924960,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4405564218,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3124310731,3,2,1,0,3,0.6667,TRUE,female,male,FALSE
https://openalex.org/W4390603178,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4407542121,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4409924862,3,1,2,0,3,0.3333,TRUE,female,male,FALSE
https://openalex.org/W4409925215,4,3,1,0,4,0.7500,TRUE,female,male,FALSE
https://openalex.org/W4415659243,4,1,2,1,3,0.3333,TRUE,male,female,FALSE
https://openalex.org/W3119144077,3,0,2,1,2,0.0000,FALSE,male,undetermined,FALSE
https://openalex.org/W3125702173,4,1,3,0,4,0.2500,TRUE,male,male,FALSE
https://openalex.org/W2912290321,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3132173758,5,0,5,0,5,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4389384922,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4317829884,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4286375046,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4286542060,4,0,3,1,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3122101751,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W3124178563,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4386870759,4,1,3,0,4,0.2500,TRUE,female,male,FALSE
https://openalex.org/W4385366124,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3171997338,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W3137569807,4,1,3,0,4,0.2500,TRUE,male,female,FALSE
https://openalex.org/W4386870766,3,1,2,0,3,0.3333,TRUE,male,female,FALSE
https://openalex.org/W4313133210,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W3145584208,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4392848592,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4400990648,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4400989143,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3039363678,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3090013498,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4404528109,2,1,0,1,1,1.0000,TRUE,undetermined,female,FALSE
https://openalex.org/W4404527453,3,0,2,1,2,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W3192289590,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4400989555,1,1,0,0,1,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4389384794,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4414150919,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4412645111,3,2,1,0,3,0.6667,TRUE,female,male,FALSE
https://openalex.org/W4414150910,5,0,2,3,2,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W4312806340,5,1,2,2,3,0.3333,TRUE,male,undetermined,FALSE
https://openalex.org/W4389403112,2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W3169869267,3,2,1,0,3,0.6667,TRUE,male,female,FALSE
https://openalex.org/W4412644824,4,1,3,0,4,0.2500,TRUE,male,male,FALSE
