journal_short,journal_full,publication_year,publication_date,volume,issue,first_page,last_page,doi,title,authors,abstract,abstract_source,jel_codes,jel_codes_o_only,is_development,dev_filter_source,dev_llm_classification,dev_llm_justification,rct_classification,rct_subtype,rct_confidence,rct_justification,openalex_id,snapshot_utc,dev_llm_model,dev_llm_prompt_version,rct_llm_model,rct_llm_prompt_version
AER,American Economic Review,2022,2022-01-28,112,2,442,493,10.1257/aer.20171867,"Political Turnover, Bureaucratic Turnover, and the Quality of Public Services",Mitra Akhtari; Diana Moreira; Laura Trucco,"We study how political turnover in mayoral elections in Brazil affects public service provision by local governments. Exploiting a regression discontinuity design for close elections, we find that municipalities with a new party in office experience upheavals in the municipal bureaucracy: new personnel are appointed across multiple service sectors, and at both managerial and non-managerial levels. In education, the increase in the replacement rate of personnel in schools controlled by the municipal government is accompanied by test scores that are 0.05–0.08 standard deviations lower. In contrast, turnover of the mayor’s party does not impact local (non-municipal) schools. These findings suggest that political turnover can adversely affect the quality of public services when the bureaucracy is not shielded from the political process. (JEL D72, D73, H75, H76, J45, O17)",openalex,D72;D73;H75;H76;J45;O17,O17,TRUE,jel_o1_o2_code,,,no,n/a,high,"This paper uses a regression discontinuity design based on close mayoral elections, which is a quasi-experimental method without researcher-implemented randomization.",https://openalex.org/W3124765710,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-09-29,112,10,3291,3330,10.1257/aer.20210766,"Credit, Attention, and Externalities in the Adoption of Energy Efficient Technologies by Low-Income Households",Susanna Berkouwer; Joshua T. Dean,"We study an energy efficient charcoal cookstove in an experiment with 1,000 households in Nairobi. We estimate a 39 percent reduction in charcoal spending, which matches engineering estimates, generating a 295 percent annual return. Despite fuel savings of $237 over the stove’s two-year lifespan—and $295 in emissions reductions—households are only willing to pay $12. Drawing attention to energy savings does not increase demand. However, a loan more than doubles willingness to pay: credit constraints prevent adoption of privately optimal technologies. Energy efficient technologies could drive sustainable development by slowing greenhouse emissions while saving households money. (JEL D12, D91, G51, O12, O13, O32, Q54)",openalex,D12;D91;G51;O12;O13;O32;Q54,O12;O13;O32,TRUE,jel_o1_o2_code,,,yes,individual,high,"The abstract describes an experiment with 1,000 households testing interventions (drawing attention to savings, providing loans) to study adoption of energy efficient cookstoves, indicating randomized assignment to treatments.",https://openalex.org/W4298012885,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-08-30,112,9,2921,2958,10.1257/aer.20181249,The Rise and Fall of Local Elections in China,Mónica Martínez-Bravo; Gerard Padró i Miquel; Nancy Qian; Yang Yao,"We posit that autocrats introduce local elections when their bureaucratic capacity is low. Local elections exploit citizens’ informational advantage in keeping local officials accountable, but they also weaken vertical control. As bureaucratic capacity increases, the autocrat limits the role of elected bodies to regain vertical control. We argue that these insights can explain the introduction of village elections in rural China and the subsequent erosion of village autonomy years later. We construct a novel dataset to document political reforms, policy outcomes, and de facto power for almost four decades. We find that the introduction of elections improves popular policies and weakens unpopular ones. Increases in regional government resources lead to loss of village autonomy, but less so in remote villages. These patterns are consistent with an organizational view of local elections within autocracies. (JEL D72, D73, D83, O17, O18, P25, P26)",openalex,D72;D73;D83;O17;O18;P25,O17;O18,TRUE,jel_o1_o2_code,,,no,n/a,high,"This paper uses observational data to study the introduction and erosion of village elections in China over four decades, with no mention of randomized assignment to treatment.",https://openalex.org/W4293568589,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-02-28,112,3,861,898,10.1257/aer.20200751,Targeting High Ability Entrepreneurs Using Community Information: Mechanism Design in the Field,Reshmaan Hussam; Natalia Rigol; Benjamin Roth,"Identifying high-growth microentrepreneurs in low-income countries remains a challenge due to a scarcity of verifiable information. With a cash grant experiment in India we demonstrate that community knowledge can help target high-growth microentrepreneurs; while the average marginal return to capital in our sample is 9.4 percent per month, microentrepreneurs reported in the top third of the community are estimated to have marginal returns to capital between 24 percent and 30 percent per month. Further we find evidence that community members distort their predictions when they can influence the distribution of resources. Finally, we demonstrate that simple mechanisms can realign incentives for truthful reporting. (JEL D82, G21, I38, L25, L26, O12, O16)",openalex,D82;G21;L25;L26;O12;O16,O12;O16,TRUE,jel_o1_o2_code,,,yes,individual,high,"The abstract explicitly describes a 'cash grant experiment in India' with random assignment to study returns to capital among microentrepreneurs, which is a real-world intervention with randomization.",https://openalex.org/W2783385777,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2021,2021-04-28,111,5,1442,1480,10.1257/aer.20190830,"How Research Affects Policy: Experimental Evidence from 2,150 Brazilian Municipalities",Jonas Hjort; Diana Moreira; Gautam Rao; Juan Francisco Santini,"Can research findings change political leaders’ beliefs and policies? We use experiments with 2,150 Brazilian municipalities to measure mayors’ demand for and response to research information. In one experiment, we find that mayors are willing to pay to learn the results of evaluation studies, and update their beliefs when informed of the findings. They value larger-sample studies more, while not distinguishing between studies in rich and poor countries. In a second experiment, we find that informing mayors about research on a simple and effective policy, taxpayer reminder letters, increases the probability the policy is implemented by 10 percentage points. (JEL D72, D78, D83, O17, O18)",openalex,D72;D78;D83;O17;O18,O17;O18,TRUE,jel_o1_o2_code,,,yes,field_experiment,high,"The paper reports two field experiments with random assignment of information treatments to mayors across 2,150 Brazilian municipalities to measure their response to research findings and policy implementation.",https://openalex.org/W2953307258,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-04-28,112,5,1555,1590,10.1257/aer.20201283,"Rebel on the Canal: Disrupted Trade Access and Social Conflict in China, 1650–1911",Yiming Cao; Shuo Chen,"This paper examines the effects of the abandonment of China’s Grand Canal—the world’s largest and oldest artificial waterway—which served as a disruption to regional trade access. Using an original dataset covering 575 counties over 262 years, we show that the canal’s abandonment contributed to the social turmoil that engulfed North China in the nineteenth century. Counties along the canal experienced an additional 117 percent increase in rebelliousness after the canal’s closure relative to their non-canal counterparts. Our findings highlight the important role that continued access to trade routes plays in reducing conflict. (JEL D74, N75, N95, O18, O22, R12, R42)",openalex,D74;N95;O18;O22;R12,O18;O22,TRUE,jel_o1_o2_code,,,no,n/a,high,This is a historical observational study using a natural experiment (canal abandonment) with no researcher-implemented randomization.,https://openalex.org/W4225134649,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2024,2024-03-28,114,4,988,1029,10.1257/aer.20211519,When Tariffs Disrupt Global Supply Chains,Gene M. Grossman; Elhanan Helpman; Stephen J. Redding,"We study unanticipated tariffs in a setting with firm-to-firm supply relationships. Firms conduct costly searches and negotiate with potential suppliers that pass a reservation level of match productivity. Global supply chains form in anticipation of free trade. Then, the home government surprises with an input tariff. This can lead to renegotiation with initial suppliers or search for replacements. Calibrating the model’s parameters to match initial import shares and the estimated responses to the US tariffs imposed on China, we find an overall welfare loss of 0.12 percent of GDP, with substantial contributions from changes in input sourcing and search costs. (JEL D72, F13, F14, L14, O19, P33)",openalex,D72;F13;F14;L14;O19;P33,O19,TRUE,jel_o1_o2_code,,,no,n/a,high,"This is a structural model calibrated to observational data on US-China tariffs, not a randomized controlled trial with experimental assignment to treatment.",https://openalex.org/W3080395694,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-11-28,112,12,3848,3875,10.1257/aer.20181805,"Interaction, Stereotypes, and Performance: Evidence from South Africa",Lucia Corno; Eliana La Ferrara; Justine Burns,"We exploit a policy designed to randomly allocate roommates in a large South African university to investigate whether interracial interaction affects stereotypes, attitudes and performance. Using implicit association tests, we find that living with a roommate of a different race reduces White students' negative stereotypes towards Black students and increases interracial friendships. Interaction also affects academic outcomes: Black students improve their GPA, pass more exams and have lower dropout rates. This effect is not driven by roommate's ability. (JEL D91, I23, J15, O12)",openalex,D91;I23;J15;O12,O12,TRUE,jel_o1_o2_code,,,no,n/a,high,The study exploits a pre-existing university policy for roommate allocation rather than implementing researcher-controlled randomization of a real-world intervention.,https://openalex.org/W4310177458,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2021,2021-02-25,111,3,899,942,10.1257/aer.20190388,Job Displacement Insurance and (the Lack of) Consumption-Smoothing,François Gérard; Joana Naritomi,"We study the spending profile of workers who experience both a positive transitory income shock (lump-sum severance pay) and a negative permanent income shock (layoff). Using de-identified expenditure and employment data from Brazil, we show that workers increase spending at layoff by 35 percent despite experiencing a 14 percent long-term loss. We find high sensitivity of spending to cash-on-hand across consumption categories and for several sources of variation, including predictable income drops. A model with present-biased workers can rationalize our findings, and highlights the importance of the timing of benefit disbursement for the consumption-smoothing gains of job displacement insurance policies. (JEL D12, G51, J65, J63, O12)",openalex,,,TRUE,country_match,,,no,n/a,high,"This paper uses observational expenditure and employment data from Brazil to study worker spending patterns around layoffs, with no mention of randomization or experimental intervention.",https://openalex.org/W2936203654,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-02-28,112,3,762,797,10.1257/aer.20201159,Local Elites as State Capacity: How City Chiefs Use Local Information to Increase Tax Compliance in the Democratic Republic of the Congo,Pablo Balán; Augustin Bergeron; Gabriel Tourek; Jonathan Weigel,"This paper investigates the trade-offs between local elites and state agents as tax collectors in low-capacity states. We study a randomized policy experiment assigning neighborhoods of a large Congolese city to property tax collection by city chiefs or state agents. Chief collection raised tax compliance by 3.2 percentage points, increasing revenue by 44 percent. Chiefs collected more bribes but did not undermine tax morale or trust in government. Results from a hybrid treatment arm in which state agents consulted with chiefs before collection suggest that chief collectors achieved higher compliance by using local information to more efficiently target households with high payment propensities, rather than by being more effective at persuading households to pay conditional on having visited them. (JEL D73, D83, H24, H26, H71, O12, O17)",openalex,D73;D83;H26;H71;O12;O17,O12;O17,TRUE,jel_o1_o2_code,,,yes,cluster,high,"The abstract explicitly describes a randomized policy experiment with neighborhoods assigned to different tax collection treatments (city chiefs vs. state agents), which constitutes a cluster-randomized controlled trial.",https://openalex.org/W4283367986,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2021,2021-11-30,111,12,3827,3871,10.1257/aer.20201237,Tax Administration versus Tax Rates: Evidence from Corporate Taxation in Indonesia,M. Chatib Basri; Mayara Felix; Rema Hanna; Benjamin Olken,"We compare two approaches to increasing tax revenue: tax administration and tax rates. We show that when Indonesia moved top regional firms into “medium taxpayer offices,” with high staff-to-taxpayer ratios, tax revenue more than doubled. Examining nonlinear changes to corporate income tax rates, we estimate an elasticity of taxable income of 0.579. Combining these estimates, improved tax administration is equivalent to raising top rates on all firms by 8 percentage points. On net, improved tax administration can have significant returns for developing countries. (JEL H25, H26, K34, O17)",openalex,H26;K34;O17,O17,TRUE,jel_o1_o2_code,,,no,n/a,high,"The paper uses observational data to study the effects of moving firms into medium taxpayer offices and changes in tax rates, without any mention of randomized assignment by researchers.",https://openalex.org/W4200124540,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2023,2023-09-27,113,10,2759,2808,10.1257/aer.20210419,"Profits, Scale Economies, and the Gains from Trade and Industrial Policy",Ahmad Lashkaripour; Volodymyr Lugovskyy,"This paper examines the efficacy of second-best trade restrictions at correcting sectoral misallocation due to scale economies or profit-generating markups. To this end, we characterize optimal trade and industrial policies in an important class of quantitative trade models with scale effects and profits, estimating the structural parameters that govern policy outcomes. Our estimates reveal that standalone trade policy measures are remarkably ineffective at correcting mis-allocation, even when designed optimally. Unilateral adoption of corrective industrial policies is also ineffective due to immiserizing growth effects. But industrial policies coordinated internationally via a deep agreement are more transformative than any unilateral policy alternative. (JEL F12, F13,14. L52, O19, O25)",openalex,F12;F13;F14;L52;O19;O25,O19;O25,TRUE,jel_o1_o2_code,,,no,n/a,high,"This is a structural modeling paper examining optimal trade and industrial policies using quantitative trade models with estimated parameters, not a randomized controlled trial.",https://openalex.org/W4387096937,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2021,2021-09-30,111,10,3418,3457,10.1257/aer.20181596,Assortative Matching or Exclusionary Hiring? The Impact of Employment and Pay Policies on Racial Wage Differences in Brazil,François Gérard; Lorenzo Lagos; Edson Severnini; David Card,"We measure the effects of firm policies on racial pay differences in Brazil. Non-Whites are less likely to be hired by high-wage firms, explaining about 20 percent of the racial wage gap for both genders. Firm-specific pay premiums for non-Whites are also compressed relative to Whites, contributing another 5 percent for that gap. A counterfactual analysis reveals that about two-thirds of the underrepresentation of non-Whites at higher-wage firms is explained by race-neutral skill-based sorting. Non-skill-based sorting and differential wage setting are largest for college-educated workers, suggesting that the allocative costs of discriminatory hiring and pay policies may be relatively large in Brazil. (JEL J15, J24, J31, J41, J46, J71, O15)",openalex,J15;J24;J31;J41;J46;O15,O15,TRUE,jel_o1_o2_code,,,no,n/a,high,"This is an observational study using decomposition methods and counterfactual analysis to examine racial wage gaps through firm hiring and pay policies, with no mention of randomization or experimental intervention.",https://openalex.org/W3203280048,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2023,2023-04-27,113,5,1255,1293,10.1257/aer.20210970,Law and Norms: Empirical Evidence,Tom Lane; Daniele Nosenzo; Silvia Sonderegger,"A large theoretical literature argues laws exert a causal effect on norms, but empirical evidence remains scant. Using a novel identification strategy, we provide a compelling empirical test of this proposition. We use incentivized vignette experiments to directly measure social norms relating to actions subject to legal thresholds. Our large-scale experiments (n = 7,000) run in the United Kingdom, United States, and China show that laws can causally influence social norms. Results are robust across different samples and methods of measuring norms, and are consistent with a model of social image concerns where individuals care about the inferences others make about their underlying prosociality. (JEL C91, C92, D91, K00, K42, P37)",openalex,C92;D91;K00;K42;P37,,TRUE,country_match,,,no,n/a,high,"This paper uses incentivized vignette experiments to measure social norms, not randomized assignment to a real-world intervention or treatment.",https://openalex.org/W2979844637,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2021,2021-12-28,112,1,1,40,10.1257/aer.20191178,"Consumption Response to Credit Expansions: Evidence from Experimental Assignment of 45,307 Credit Lines",Deniz Aydın,"In a field experiment that constructs a randomized credit limit shock, participants borrow to spend 11 cents on the dollar in the first quarter and 28 cents by the third year. Effects extend to those far from the limit, those who had the new limits as available credit, and those with a liquid asset buffer. In the short-run, flexible and installment contracts are used in tandem, with unconstrained using installments more. Long-run borrowing is predominantly using installments. Near limits, participants borrow when credit expands but save out of constraints when limits are tight. Findings support a buffer-stock interpretation emphasizing precautionary saving. (JEL C93, E21, G21, G51, O12, O16)",openalex,C93;E21;G21;G51;O12;O16,O12;O16,TRUE,jel_o1_o2_code,,,yes,individual,high,"The abstract explicitly describes a field experiment with randomized credit limit shocks assigned to 45,307 individuals, measuring real-world consumption and borrowing responses.",https://openalex.org/W4226353405,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2022,2022-10-26,112,11,3547,3583,10.1257/aer.20200961,Job Search and Hiring with Limited Information about Workseekers’ Skills,Eliana Carranza; Robert Garlick; Kate Orkin; Neil Rankin,"We assess South African workseekers’ skills and disseminate the assessment results to explore how limited information affects firm and workseeker behavior. Giving workseekers assessment results that they can credibly share with firms increases workseekers’ employment and earnings and better aligns their skills, beliefs and search strategies. Giving workseekers assessment results that they cannot easily share with firms has similar effects on beliefs and search, but smaller effects on employment and earnings. Giving assessment results only to firms shifts interview decisions. These findings show that getting credible skill information to the right agents can improve outcomes in the labor market. (JEL J22, J23, J24, J31, J41, J64, O15)",openalex,J22;J23;J24;J31;J41;J64;O15,O15,TRUE,jel_o1_o2_code,,,yes,individual,high,"The abstract describes random assignment of skill assessment information to different groups (workseekers only, firms only, both) to evaluate causal effects on employment outcomes.",https://openalex.org/W4307292943,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
AER,American Economic Review,2025,2025-01-30,115,2,408,447,10.1257/aer.20211455,Regulating Conglomerates: Evidence from an Energy Conservation Program in China,Qiaoyi Chen; Chen Zhao; Zhikuo Liu; Juan Carlos Suárez Serrato; Daniel Yi Xu,"We study a prominent energy regulation affecting large Chinese manufacturers that are part of broader conglomerates. Using detailed firm-level data and difference-in-differences research designs, we show that regulated firms cut output and shifted some production to unregulated firms within their conglomerate instead of improving their energy efficiency. To account for conglomerate and market spillovers, we interpret these results through the lens of an industry equilibrium model featuring conglomerate production. The policy raises welfare if the per ton benefits of carbon reduction exceed $161. Alternative policies that exploit public information on business networks can increase aggregate energy savings by 10 percent. (JEL D22, L22, L51, L60, P28, P31, Q48)",openalex,D22;L22;L51;L60;P28;P31;Q48,,TRUE,country_match,,,no,n/a,high,"This paper uses difference-in-differences with observational firm-level data to study an existing energy regulation, not a randomized controlled trial.",https://openalex.org/W4406965573,2026-05-06T15:54:40Z,,,claude-sonnet-4-5,rct-classify-v1
