doi,journal_short,publication_year,title,matched_file,version,has_funding_statement,n_funders,funders,grant_numbers,extraction_status,notes,llm_model,llm_prompt_version,snapshot_utc
10.1257/app.20210571,AEJ_Applied,2023,Hidden Income and the Perceived Returns to Migration,EBSCO-FullText-06_03_2026 (22).pdf,published?,True,5,Weiss Family Fund | Stanford Institute for Economic Policy Research | Stanford Center on Global Poverty and Development | Stanford School of Humanities and Sciences | Freeman Spogli Institute,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:00:38Z
10.1257/app.20220532,AEJ_Applied,2024,"Noise, Cognitive Function, and Worker Productivity",EBSCO-FullText-06_03_2026 (18).pdf,published?,True,5,Busara Center for Behavioral Economics | J-PAL Directors Fund | George and Obi Shultz Fund | National Science Foundation | Weiss Family Program Fund,National Science Foundation: DGE-1122374,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:01:12Z
10.1257/app.20210683,AEJ_Applied,2023,Is It Who You Are or What You Get? Comparing the Impacts of Loans and Grants for Microenterprise Development,EBSCO-FullText-06_03_2026 (21).pdf,published?,True,1,Sawiris Foundation for Social Development,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:01:41Z
10.1257/app.20200639,AEJ_Applied,2023,Adverse Selection in Low-Income Health Insurance Markets: Evidence from an RCT in Pakistan,EBSCO-FullText-06_03_2026 (6).pdf,published?,True,1,German Research Foundation (DFG),"German Research Foundation (DFG): SFB 884, LA 3936/1-1",ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:03:54Z
10.1257/app.20210266,AEJ_Applied,2023,Does Exposure to Other Ethnic Regions Promote National Integration? Evidence from Nigeria,EBSCO-FullText-06_03_2026 (13).pdf,published?,True,3,Weiss Family Fund | Harvard Institute for Quantitative Social Science | Lab for Economic Applications and Policy,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:04:31Z
10.1257/app.20210041,AEJ_Applied,2022,The Effects of Working While in School: Evidence from Employment Lotteries,EBSCO-FullText-06_03_2026 (8).pdf,published?,True,2,J-PAL Skills for Youth Program | LEAP,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:07:19Z
10.1257/app.20220072,AEJ_Applied,2024,Digital Information Provision and Behavior Change: Lessons from Six Experiments in East Africa,EBSCO-FullText-06_03_2026 (19).pdf,published?,True,6,3ie | ATAI | Dioraphte Foundation | Unorthodox Philanthropy | PxD | Anonymous donor,3ie: TW4.1101 | ATAI: 5710004168,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:07:57Z
10.1257/app.20230227,AEJ_Applied,2025,"Childcare, Labor Supply, and Business Development: Experimental Evidence from Uganda",EBSCO-FullText-06_03_2026 (11).pdf,published?,True,3,"German Institute of Labor Economics's Growth, Gender, and Labour Markets in Low-Income Countries (IZA-G2LM) research initiative | Research Council of Norway | Private Enterprise Development in Low-Income Countries (PEDL) program","German Institute of Labor Economics's Growth, Gender, and Labour Markets in Low-Income Countries (IZA-G2LM) research initiative: GA-5-544 | Research Council of Norway: 274557 and 262675 | Private Enterprise Development in Low-Income Countries (PEDL) program: MRG-5491",ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:08:26Z
10.1257/app.20200721,AEJ_Applied,2022,Incentivized Peer Referrals for Tuberculosis Screening: Evidence from India,retrieve (26).pdf,published?,True,5,World Bank Strategic Innovation Fund (SIEF) | International Growth Centre (IGC) India Central | Johns Hopkins Center for Global Health | Maryland Population Research Center | University of Chicago Trust India,,ok,Individual donor Jaithirth Jerry Rao excluded per instructions,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:08:47Z
10.1257/app.20230672,AEJ_Applied,2025,"Information Systems, Service Delivery, and Corruption: Evidence From the Bangladesh Civil Service",EBSCO-FullText-06_03_2026 (12).pdf,published?,True,7,JPAL Governance Initiative | International Growth Centre | Yale Economic Growth Center | MacMillan Center for International and Area Studies | Weiss Family Fund | Sylff fellowship | National University of Singapore Start-Up Grant,JPAL Governance Initiative: GR-0861 | International Growth Centre: 31422,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:09:34Z
10.1257/app.20190722,AEJ_Applied,2021,Does Patient Demand Contribute to the Overuse of Prescription Drugs?,EBSCO-FullText-06_03_2026 (3).pdf,published?,True,1,ESRC/DFID Development Frontiers Award,ESRC/DFID Development Frontiers Award: ES/N00583X/1,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:10:03Z
10.1257/app.20220088,AEJ_Applied,2024,Public Information Is an Incentive for Politicians: Experimental Evidence from Delhi Elections,EBSCO-FullText-06_03_2026 (16).pdf,published?,True,4,USAID DIV | National Science Foundation | 3ie | International Growth Center,USAID DIV: AID-OAA-G-12-00006 | National Science Foundation: 1063693 | 3ie: OW2.099,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:10:34Z
10.1257/app.20190220,AEJ_Applied,2021,Different Strokes for Different Folks? Experimental Evidence on the Effectiveness of Input and Output Incentive Contracts for Health Care Providers with Varying Skills,Mohanan_et_al_AEJ_copyright.pdf,published?,True,4,3ie | DFID-India | World Bank HRITF | Government of Karnataka,DFID-India: OW2: 205 | World Bank HRITF: TF099435,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:10:57Z
10.1257/app.20220443,AEJ_Applied,2024,"Schoolgirls, Not Brides: Education as a Shield against Child Marriage",retrieve (27).pdf,published?,True,3,"Sahel Women's Empowerment and Demographic Dividend (SWEDD) Project in Niger | UK Foreign, Commonwealth and Development Office | J-PAL Postprimary Initiative",,ok,FCDO funding was awarded through J-PAL Postprimary Initiative,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:11:35Z
10.1257/app.20210180,AEJ_Applied,2021,Discriminatory Lending: Evidence from Bankers in the Lab,brock-de-haas-2023-discriminatory-lending-evidence-from-bankers-in-the-lab.pdf,published?,False,0,,,ok,Acknowledgments present but no financial support disclosed,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:12:06Z
10.1257/app.20230108,AEJ_Applied,2025,"Sustainable Poverty Reduction through Social Assistance: Modality, Context, and Complementary Programming in Bangladesh",EBSCO-FullText-06_03_2026 (35).pdf,published?,True,10,"anonymous donor | World Food Programme | Cornell University | CGIAR Research Program on Policies, Institutions, and Markets | CGIAR Initiative on Gender Equality | German Ministry for Economic Cooperation and Development | UK's Department for International Development | Swiss Agency for Development and Cooperation | United Nations Development Programme | US Agency for International Development",,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:12:20Z
10.1257/app.20210248,AEJ_Applied,2024,"What’s Behind Her Smile? Health, Looks, and Self-Esteem",EBSCO-FullText-06_03_2026 (10).pdf,published?,True,1,FONDECYT,FONDECYT: 1120539,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:12:45Z
10.1257/app.20220047,AEJ_Applied,2024,Spillovers without Social Interactions in Urban Sanitation,EBSCO-FullText-06_03_2026 (15).pdf,published?,True,1,Bill and Melinda Gates Foundation,Bill and Melinda Gates Foundation: OPP1048229,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:13:06Z
10.1257/app.20190497,AEJ_Applied,2021,Teaching Labor Laws: Evidence from a Randomized Control Trial in South Africa,EBSCO-FullText-06_03_2026.pdf,published?,True,1,USAID,USAID: AID-674-A-12-00022,ok,CALIE Program,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:13:19Z
10.1257/app.20230150,AEJ_Applied,2025,Can Development Programs Counter Insurgencies? Evidence from a Field Experiment in Afghanistan<sup>†</sup>,beath-et-al-2025-can-development-programs-counter-insurgencies-evidence-from-a-field-experiment-in-afghanistan.pdf,published?,True,6,"Food and Agriculture Organisation of the United Nations | World Bank | International Development Association | Ministerio de Ciencia e Innovacion | Ministerio de Ciencia, Innovación y universidades | ARO-MURI","Ministerio de Ciencia e Innovacion: AEI/10.13039/501100011033 | Ministerio de Ciencia, Innovación y universidades: PID2023-150768NB-I00 | ARO-MURI: W911NF-12-1-0509",ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:15:02Z
10.1257/pol.20190664,AEJ_EP,2021,"Improving Police Performance in Rajasthan, India: Experimental Evidence on Incentives, Managerial Autonomy, and Training",EBSCO-FullText-06_03_2026 (34).pdf,published?,True,2,Will and Flora Hewlett Foundation | UNODC,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:15:24Z
10.1257/pol.20200123,AEJ_EP,2022,"Technology, Taxation, and Corruption: Evidence from the Introduction of Electronic Tax Filing",EBSCO-FullText-06_03_2026 (31).pdf,published?,True,2,Impact Program managed by the WBG Trade and Competitiveness Global Practice | Impact Evaluation to Development Impact Trust Fund (i2i) managed under the WBG Development Impact Evaluation Unit,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:15:43Z
10.1257/pol.20210121,AEJ_EP,2023,Expanding Access to Clean Water for the Rural Poor: Experimental Evidence from Malawi,EBSCO-FullText-06_03_2026 (30).pdf,published?,True,2,Stichting Dioraphte | Stanford Center for Innovation in Global Health,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:16:09Z
10.1257/pol.20200713,AEJ_EP,2022,"Engaging Teachers with Technology Increased Achievement, Bypassing Teachers Did Not",EBSCO-FullText-06_03_2026 (32).pdf,published?,True,1,Post-Primary Education Initiative of the Jameel Poverty Action Lab (J-PAL),,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:16:24Z
10.1257/pol.20200563,AEJ_EP,2023,"Student Performance, Peer Effects, and Friend Networks: Evidence from a Randomized Peer Intervention",EBSCO-FullText-06_03_2026 (28).pdf,published?,True,4,National Natural Science Foundation of China | National Social Science Fund of China | Natural Science Foundation of Guangdong Province | Fundamental Research Funds for the Central Universities,National Natural Science Foundation of China: 72073051 and 72034006 | National Social Science Fund of China: 20&ZD076 and 18ZDA081 | Natural Science Foundation of Guangdong Province: 2020A1515010421 and 2021A1515012304 | Fundamental Research Funds for the Central Universities: 19JNKY06,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:16:44Z
10.1257/pol.20200778,AEJ_EP,2022,Adviser Value Added and Student Outcomes: Evidence from Randomly Assigned College Advisers,EBSCO-FullText-06_03_2026 (33).pdf,published?,False,0,,,ok,Acknowledgments thank individuals and seminar participants only; no financial support disclosed.,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:17:03Z
10.1257/pol.20210202,AEJ_EP,2023,Incentivizing School Attendance in the Presence of Parent-Child Information Frictions,EBSCO-FullText-06_03_2026 (29).pdf,published?,True,5,"Results in Education for All Children (REACH) | Strategic Research Program (SRP) Trust Funds, World Bank | Research Support Budget (RSB), World Bank | International Growth Center (IGC) | International Growth Center (IGC)",International Growth Center (IGC): 1-VCH-VMOZ-VXXXX-36202 | International Growth Center (IGC): 1-VCS-VMOZ-VXXXX-36405,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:17:23Z
10.1257/pol.20230620,AEJ_EP,2025,"Transmitting Rights: Effective Cooperation, Inter-gender Contact, and Student Achievement",EBSCO-FullText-06_03_2026 (26).pdf,published?,True,3,French National Research Agency (Investments for the Future / Investissements d'Avenir program) | TSE Partnership | ANITI,French National Research Agency (Investments for the Future / Investissements d'Avenir program): ANR-17-EUR-0010,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:17:39Z
10.1257/pol.20230283,AEJ_EP,2025,Informing Mothers about the Benefits of Conversing with Infants: Experimental Evidence from Ghana,EBSCO-FullText-06_03_2026 (27).pdf,published?,True,3,World Bank's Strategic Impact Evaluation Fund | Stanford University | Weiss Fund,Weiss Fund: STN-008,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:18:03Z
10.1257/pol.20240183,AEJ_EP,2025,Social Welfare Portability and Migration: Evidence from India’s Public Distribution System,retrieve (28).pdf,published?,False,0,,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:18:20Z
10.1257/aer.20200295,AER,2021,Can Network Theory-Based Targeting Increase Technology Adoption?,EBSCO-FullText-06_03_2026 (24).pdf,published?,True,3,CEGA/JPAL Agricultural Technology Adoption Initiative (ATAI) | 3ie | National Science Foundation,National Science Foundation: 1254380,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:18:44Z
10.1257/aer.20200705,AER,2021,On Her Own Account: How Strengthening Women’s Financial Control Impacts Labor Supply and Gender Norms,EBSCO-FullText-06_03_2026 (50).pdf,published?,True,6,IZA's Growth and Labour Markets in Low Income Countries Programme | Bill and Melinda Gates Foundation | DFID | Harvard's Center for Population and Development Studies | J-PAL Governance Initiative | Innovations for Poverty Action's Financial Services for the Poor Initiative,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:18:59Z
10.1257/aer.20191780,AER,2021,Types of Contact: A Field Experiment on Collaborative and Adversarial Caste Integration,EBSCO-FullText-06_03_2026 (44).pdf,published?,True,5,Weiss Family Fund | J-PAL Governance Initiative | Center for International Studies | MIT-India | Shultz Fund,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:19:17Z
10.1257/aer.20201112,AER,2022,Reshaping Adolescents' Gender Attitudes: Evidence from a School-Based Experiment in India,dhar-et-al-2022-reshaping-adolescents-gender-attitudes-evidence-from-a-school-based-experiment-in-india.pdf,published?,True,5,J-PAL Post-Primary Education Initiative | International Initiative for Impact Evaluation | Bill and Melinda Gates Foundation | International Growth Centre | Northwestern Global Poverty Research Lab,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:19:39Z
10.1257/aer.20221215,AER,2024,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,EBSCO-FullText-06_04_2026 (46).pdf,published?,True,3,National Science Foundation of China | HKU Education Consulting Shenzhen | Energy Policy Institute at U Chicago (EPIC),"National Science Foundation of China: 71825005, 72161147002, 72374044 | HKU Education Consulting Shenzhen: SZRI2023-TBRF-04",ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:19:57Z
10.1257/aer.20210766,AER,2022,"Credit, Attention, and Externalities in the Adoption of Energy Efficient Technologies by Low-Income Households",EBSCO-FullText-06_03_2026 (42).pdf,published?,True,7,Weiss Family Program Fund | International Growth Centre | University of Chicago Booth School of Business | Analytics at Wharton | Berkeley X-Lab | Art Rosenfeld Fund for Energy Efficiency | Kleinman Center for Energy Policy,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:20:18Z
10.1257/aer.20200751,AER,2022,Targeting High Ability Entrepreneurs Using Community Information: Mechanism Design in the Field,EBSCO-FullText-06_04_2026 (1).pdf,published?,True,4,Asian Development Bank | Weiss Family Fund | PEDL | Schultz Fund at MIT,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:20:35Z
10.1257/aer.20190830,AER,2021,"How Research Affects Policy: Experimental Evidence from 2,150 Brazilian Municipalities",EBSCO-FullText-06_03_2026 (51).pdf,published?,True,4,Lemann Brazil Research Fund at Harvard | Weiss Family Fund | Warburg Fund | JPAL Governance Initiative Pilot Grant,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:20:55Z
10.1257/aer.20201159,AER,2022,Local Elites as State Capacity: How City Chiefs Use Local Information to Increase Tax Compliance in the Democratic Republic of the Congo,EBSCO-FullText-06_03_2026 (38).pdf,published?,True,2,EGAP Metaketa II Taxation Initiative | International Centre for Tax and Development,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:21:19Z
10.1257/aer.20191178,AER,2021,"Consumption Response to Credit Expansions: Evidence from Experimental Assignment of 45,307 Credit Lines",EBSCO-FullText-06_03_2026 (23).pdf,published?,True,3,National Bureau of Economic Research | Alfred P. Sloan Foundation | Stanford Institute for Economic Policy Research,Alfred P. Sloan Foundation: 22-2382-12-1-33-003,ok,Sloan funding through NBER; SIEPR funding via B. F. Haley and E. S. Shaw Fellowship,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:21:34Z
10.1257/aer.20200961,AER,2022,Job Search and Hiring with Limited Information about Workseekers’ Skills,EBSCO-FullText-06_03_2026 (40).pdf,published?,True,4,National Science Foundation | Private Enterprise Development in Low Income Countries | W. E. Upjohn Institute for Employment Research | UKRI GCRF Accelerating Achievement for Africa's Adolescents Hub,National Science Foundation: 1824413 | Private Enterprise Development in Low Income Countries: 3024 and 4728,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:22:43Z
10.1257/aer.20200523,AER,2021,The Challenges of Universal Health Insurance in Developing Countries: Experimental Evidence from Indonesia’s National Health Insurance,EBSCO-FullText-06_03_2026 (47).pdf,published?,True,2,Australian Department of Foreign Affairs and Trade | KOICA,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:22:58Z
10.1257/aer.20191972,AER,2021,"Recruitment, Effort, and Retention Effects of Performance Contracts for Civil Servants: Experimental Evidence from Rwandan Primary Schools",EBSCO-FullText-06_03_2026 (49).pdf,published?,True,5,UK Department for International Development (DfID) via the International Growth Centre | UK Department for International Development (DfID) via the Economic Development and Institutions Programme | Oxford University John Fell Fund | World Bank SIEF trust fund | World Bank REACH trust fund,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:23:12Z
10.1257/aer.20191726,AER,2021,The Impacts of a Multifaceted Prenatal Intervention on Human Capital Accumulation in Early Life,EBSCO-FullText-06_03_2026 (46).pdf,published?,True,4,DfID | ESRC | ESRC | ERC,ESRC: ES/H021221/1 | ESRC: ES/P008909/1 | ERC: ERC-2015-CoG-682349,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:23:29Z
10.1257/aer.20220717,AER,2024,Resisting Social Pressure in the Household Using Mobile Money: Experimental Evidence on Microenterprise Investment in Uganda,EBSCO-FullText-06_04_2026 (41).pdf,published?,True,1,anonymous donor,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:24:05Z
10.1257/aer.20201661,AER,2022,"Fictional Money, Real Costs: Impacts of Financial Salience on Disadvantaged Students",EBSCO-FullText-06_03_2026 (41).pdf,published?,False,0,,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:24:21Z
10.1257/aer.20211826,AER,2023,Does Identity Affect Labor Supply?,EBSCO-FullText-06_04_2026 (5).pdf,published?,True,3,Center for Development Economics and Policy | Program for Economic Research at Columbia University | National Science Foundation,National Science Foundation: SES-1919139,ok,J-PAL South Asia and IFMR provided operational support,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:24:41Z
10.1257/aer.20211616,AER,2022,The Psychosocial Value of Employment: Evidence from a Refugee Camp,EBSCO-FullText-06_04_2026 (2).pdf,published?,True,4,"Gates Foundation | United Kingdom's Foreign, Commonwealth & Development Office | Innovation for Poverty Action's Peace & Recovery Program | Building the Evidence on Forced Displacement: A Multi-Stakeholder Partnership",,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:25:20Z
10.1257/aer.20201385,AER,2021,Labor Rationing,EBSCO-FullText-06_03_2026 (36).pdf,published?,True,1,National Science Foundation,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:26:41Z
10.1257/aer.20210122,AER,2022,Market Access and Quality Upgrading: Evidence from Four Field Experiments,EBSCO-FullText-06_03_2026 (37).pdf,published?,True,2,Swedish Research Council | Riksbankens Jubileumsfond,Swedish Research Council: 2017-05665 | Riksbankens Jubileumsfond: M16:0345:1,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:26:57Z
10.1257/aer.20211207,AER,2023,"Subjective Performance Evaluation, Influence Activities, and Bureaucratic Work Behavior: Evidence from China",EBSCO-FullText-06_04_2026 (7).pdf,published?,True,2,J-PAL Governance Initiative | National Natural Science Foundation of China,National Natural Science Foundation of China: 72003188,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:27:11Z
10.1257/aer.20220720,AER,2023,A Signal to End Child Marriage: Theory and Experimental Evidence from Bangladesh,EBSCO-FullText-06_04_2026 (4).pdf,published?,True,5,US National Institutes of Health | International Initiative for Impact Evaluation and Global Development Network | Nike Foundation | International Development Research Center | GrOW,US National Institutes of Health: 1P01HD061315 | International Initiative for Impact Evaluation and Global Development Network: OW.1.12 | Nike Foundation: 04-203594 and 013691-001 | GrOW: 107821-001,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:27:24Z
10.1257/aer.20210687,AER,2023,The Economic Impact of Depression Treatment in India: Evidence from Community-Based Provision of Pharmacotherapy,EBSCO-FullText-06_04_2026 (8).pdf,published?,True,3,Swiss Agency for Development and Cooperation | Swiss National Science Foundation | Jameel Poverty Action Lab Urban Services Initiative,Swiss National Science Foundation: 400640-160374,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:28:09Z
10.1257/aer.20231247,AER,2025,Mission Motivation and Public Sector Performance: Experimental Evidence from Pakistan,EBSCO-FullText-06_04_2026 (34).pdf,published?,True,6,International Growth Centre | Center for Effective Global Action | Weiss Family Fund | Spiller Award | Sasakawa Fellowship | Oliver Williamson Fund,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:28:44Z
10.1257/aer.20200125,AER,2021,An Experiment in Candidate Selection,EBSCO-FullText-06_03_2026 (25).pdf,published?,True,4,Economic Development Initiative funded by UK Aid | Governance Initiative at J-PAL | International Growth Centre | Stanford Institute for Innovation in Developing Economies,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:29:00Z
10.1257/aer.20210701,AER,2023,When a Doctor Falls from the Sky: The Impact of Easing Doctor Supply Constraints on Mortality,EBSCO-FullText-06_04_2026 (9).pdf,published?,True,1,Eunice Kennedy Shriver National Institute for Child Health and Human Development,Eunice Kennedy Shriver National Institute for Child Health and Human Development: R01HD083444,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:29:30Z
10.1257/aer.20210169,AER,2024,Asset-Based Microfinance for Microenterprises: Evidence from Pakistan,retrieve (33).pdf,published?,True,3,Financial Services for the Poor Research Fund at Innovations for Poverty Action | Bill and Melinda Gates Foundation | Private Enterprise Development in Low-Income Countries (PEDL),,ok,PEDL provided initial pilot funding,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:29:50Z
10.1257/aer.20190586,AER,2021,The Selection of Talent: Experimental and Structural Evidence from Ethiopia,EBSCO-FullText-06_03_2026 (45).pdf,published?,True,2,IGC | John Fell Fund,IGC: 1-VCC-VETH-VXXXX-32304,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:30:13Z
10.1257/aer.20201892,AER,2022,Persistent Polarizing Effects of Persuasion: Experimental Evidence from Turkey,EBSCO-FullText-06_04_2026.pdf,published?,True,4,NSF Graduate Research Fellowship program | Weatherhead Center for International Affairs | J-PAL Governance Initiative | Center for Middle Eastern Studies at UC Berkeley,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:30:31Z
10.1257/aer.20210461,AER,2023,Electronic Food Vouchers: Evidence from an At-Scale Experiment in Indonesia,EBSCO-FullText-06_04_2026 (6).pdf,published?,True,3,Australian Government | Development Innovation Ventures at USAID | JPAL Governance Initiative,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:30:46Z
10.1257/aer.20220471,AER,2024,Urban Public Works in Spatial Equilibrium: Experimental Evidence from Ethiopia,EBSCO-FullText-06_04_2026 (40).pdf,published?,True,1,The Jobs Umbrella Multidonor Trust Fund (MDTF) at the World Bank,,ok,,claude-sonnet-4-5,funders-fulltext-v1,2026-06-04T20:31:06Z
